ChargerId,PlugId,MaxPower
ACB-00033,PT*FCT*E*ACB*00033*03,150000
ACB-00034,PT*FCT*E*ACB*00034*01,150000
ACB-00034,PT*FCT*E*ACB*00034*03,150000
ACB-00035,PT*SLX*E*ACB*00035*01,11000
ACB-00035,PT*SLX*E*ACB*00035*02,11000
ACB-00037,PT*GLP*EACB*00037*01,120000
ACB-00037,PT*GLP*EACB*00037*02,120000
ACB-00038,PT*GLP*EACB*00038*01,22000
ACB-00038,PT*GLP*EACB*00038*02,50000
ACB-00039,PT*GLP*EACB*00039*01,22000
ACB-00039,PT*GLP*EACB*00039*02,50000
ACB-00042,PT*ITV*E*ACB*00042*01,160000
ACB-00043,PT*ITV*E*ACB*00043*01,160000
ACB-00044,PT*ITV*E*ACB*00044*01,160000
ACB-90001,PT*HRZ*E*ACB*90001*1,22000
ACB-90001,PT*HRZ*E*ACB*90001*2,22000
ACH-00002,PT*GLG*EACH*00002*02,50000
ACH-00002,PT*GLG*EACH*00002*03,43000
ACH-00003,PT*GLG*EACH*00003*02,43000
ACH-00003,PT*GLG*EACH*00003*03,43000
ACH-00008,PT*REP*E*ACH*00008*02,30000
ACH-00008,PT*REP*E*ACH*00008*03,22000
ACH-00010,PT*GLG*EACH*00010*01,120000
ACH-00010,PT*GLG*EACH*00010*02,120000
ACH-00013,PT*ATL*EACH*00013*2,60000
ACH-00013,PT*ATL*EACH*00013*3,22000
ACH-00018,PT*EDP*E*ACH*00018*01,90000
ACH-00018,PT*EDP*E*ACH*00018*03,22000
ACH-00019,PT*FCT*E*ACH*00019*01,150000
ACH-00019,PT*FCT*E*ACH*00019*02,150000
ACH-00020,PT*ATL*EACH*00020*1,22000
ACH-00020,PT*ATL*EACH*00020*2,22000
ACH-00021,PT*ATL*EACH*00021*1,22000
ACH-00021,PT*ATL*EACH*00021*2,22000
ACH-00022,PT*ATL*EACH*00022*1,11000
ACH-00022,PT*ATL*EACH*00022*2,11000
ACH-00023,PT*ATL*EACH*00023*1,11000
ACH-00023,PT*ATL*EACH*00023*2,11000
ACH-00024,PT*ATL*EACH*00024*1,11000
ACH-00024,PT*ATL*EACH*00024*2,11000
ACH-00025,PT*ATL*EACH*00025*1,11000
ACH-00025,PT*ATL*EACH*00025*2,11000
ACH-00026,PT*ATL*EACH*00026*1,60000
ACH-00027,PT*ATL*EACH*00027*1,60000
ACH-00028,PT*ATL*EACH*00028*1,150000
ACH-00028,PT*ATL*EACH*00028*2,150000
ACH-00029,PT*ATL*EACH*00029*1,11000
ACH-00029,PT*ATL*EACH*00029*2,11000
ACH-00030,PT*ATL*EACH*00030*1,60000
ACH-00031,PT*ATL*EACH*00031*1,60000
ACH-00032,PT*ATL*EACH*00032*1,11000
ACH-00032,PT*ATL*EACH*00032*2,11000
