LOCATION_UID;CONNECTOR_ID;VALID_FROM;COMPONENT_TYPE;PRICE;MIN_DURATION;MAX_DURATION;MIN_KWH;MAX_KWH;START_HOUR;END_HOUR
LMG-00008;1;2022-01-14;TIME;0,1;0;;;;;
LMG-00008;2;2022-01-14;FLAT;0,3;;;;;;
LMG-00008;2;2022-01-14;TIME;0,1;0;;;;;
LMG-00008;3;2022-01-14;FLAT;0,3;;;;;;
LMG-00008;3;2022-01-14;TIME;0,1;0;;;;;
LMG-00009;1;2022-03-02;FLAT;0,3;;;;;;
LMG-00009;1;2022-03-02;TIME;0,04;0;;;;;
LMG-00009;2;2022-03-02;FLAT;0,3;;;;;;
LMG-00009;2;2022-03-02;TIME;0,04;0;;;;;
LMG-00010;1;2022-06-16;ENERGY;0,07;;;0;;;
LMG-00010;1;2022-06-16;FLAT;0,297;;;;;;
LMG-00010;1;2022-06-16;TIME;0,09;0;;;;;
LMG-00010;2;2022-06-16;ENERGY;0,07;;;0;;;
LMG-00010;2;2022-06-16;FLAT;0,297;;;;;;
LMG-00010;2;2022-06-16;TIME;0,09;0;;;;;
LMG-90004;1;2020-09-15;TIME;0,025;0;;;;;
LMG-90004;2;2020-09-15;TIME;0,025;0;;;;;
LNH-00002;1;2022-10-12;FLAT;0,2964;;;;;;
LNH-00002;1;2022-10-12;TIME;0,1;0;;;;;
LNH-00002;2;2022-10-12;FLAT;0,2964;;;;;;
LNH-00002;2;2022-10-12;TIME;0,1;0;;;;;
LNH-00002;3;2022-10-12;FLAT;0,2964;;;;;;
LNH-00002;3;2022-10-12;TIME;0,1;0;;;;;
LNH-00003;1;2022-04-05;TIME;0,08;0;;;;;
LNH-00003;2;2022-04-05;TIME;0,08;0;;;;;
LNH-00003;3;2022-04-05;TIME;0,08;0;;;;;
LNH-00004;1;2022-11-24;FLAT;0,2964;;;;;;
LNH-00004;1;2022-11-24;TIME;0,02;0;;;;;
LNH-00004;2;2022-11-24;FLAT;0,2964;;;;;;
LNH-00004;2;2022-11-24;TIME;0,02;0;;;;;
LNH-00005;1;2022-11-24;FLAT;0,2964;;;;;;
LNH-00005;1;2022-11-24;TIME;0,02;0;;;;;
LNH-00005;2;2022-11-24;FLAT;0,2964;;;;;;
LNH-00005;2;2022-11-24;TIME;0,02;0;;;;;
LNH-90001;1;2020-08-01;TIME;0,031;0;;;;;
LNH-90001;2;2020-08-01;TIME;0,031;0;;;;;
LOU-00003;1;2022-01-01;FLAT;0,2964;;;;;;
LOU-00003;1;2022-01-01;TIME;0,03;0;;;;;
LOU-00003;2;2022-01-01;FLAT;0,2964;;;;;;
LOU-00003;2;2022-01-01;TIME;0,03;0;;;;;
LOU-00004;1;2022-01-01;FLAT;0,2964;;;;;;
LOU-00004;1;2022-01-01;TIME;0,03;0;;;;;
LOU-00004;2;2022-01-01;FLAT;0,2964;;;;;;
LOU-00004;2;2022-01-01;TIME;0,03;0;;;;;
LOU-90001;1;2020-11-24;TIME;0,02;0;;;;;
LOU-90001;2;2020-11-24;TIME;0,02;0;;;;;
LOU-90002;1;2022-02-10;TIME;0,02;0;;;;;
LOU-90002;2;2022-02-10;TIME;0,02;0;;;;;
LRA-00010;1;2020-07-01;TIME;0;0;;;;;
LRA-00010;2;2020-07-01;TIME;0;0;;;;;
LRA-00014;1;2022-01-15;FLAT;0,297;;;;;;
LRA-00014;1;2022-01-15;TIME;0,1;0;;;;;
LRA-00014;2;2022-01-15;FLAT;0,297;;;;;;
LRA-00014;2;2022-01-15;TIME;0,1;0;;;;;
LRA-00014;3;2022-01-15;FLAT;0,297;;;;;;
LRA-00014;3;2022-01-15;TIME;0,1;0;;;;;
LRA-00015;1;2022-01-01;FLAT;0,2964;;;;;;
LRA-00015;1;2022-01-01;TIME;0,015;0;;;;;
LRA-00015;2;2022-01-01;FLAT;0,2964;;;;;;
LRA-00015;2;2022-01-01;TIME;0,015;0;;;;;
LRA-00016;1;2022-07-12;FLAT;0,2964;;;;;;
LRA-00016;1;2022-07-12;TIME;0,12;0;;;;;
LRA-00016;2;2022-07-12;FLAT;0,2964;;;;;;
LRA-00016;2;2022-07-12;TIME;0,12;0;;;;;
LRA-00016;3;2022-07-12;FLAT;0,2964;;;;;;
LRA-00016;3;2022-07-12;TIME;0,12;0;;;;;
LRA-00017;1;2022-02-23;FLAT;0,297;;;;;;
LRA-00017;1;2022-02-23;TIME;0,03;0;;;;;
LRA-00017;2;2022-02-23;FLAT;0,297;;;;;;
LRA-00017;2;2022-02-23;TIME;0,03;0;;;;;
LRA-00018;1;2022-02-23;FLAT;0,3;;;;;;
LRA-00018;1;2022-02-23;TIME;0,1;0;;;;;
LRA-00018;2;2022-02-23;FLAT;0,3;;;;;;
LRA-00018;2;2022-02-23;TIME;0,1;0;;;;;
LRA-00018;3;2022-02-23;FLAT;0,3;;;;;;
LRA-00018;3;2022-02-23;TIME;0,1;0;;;;;
LRA-00019;1;2022-01-01;FLAT;0,2964;;;;;;
LRA-00019;1;2022-01-01;TIME;0,035;0;;;;;
LRA-00019;2;2022-01-01;FLAT;0,2964;;;;;;
LRA-00019;2;2022-01-01;TIME;0,035;0;;;;;
LRA-00020;1;2022-01-01;FLAT;0,2964;;;;;;
LRA-00020;1;2022-01-01;TIME;0,035;0;;;;;
LRA-00020;2;2022-01-01;FLAT;0,2964;;;;;;
LRA-00020;2;2022-01-01;TIME;0,035;0;;;;;
LRA-00021;1;2020-10-24;TIME;0,08;0;;;;;
LRA-00021;2;2020-10-24;TIME;0,08;0;;;;;
LRA-00021;3;2020-10-24;TIME;0,08;0;;;;;
LRA-00022;1;2022-01-14;FLAT;0,3;;;;;;
LRA-00022;1;2022-01-14;TIME;0,035;0;;;;;
LRA-00022;2;2022-01-14;FLAT;0,3;;;;;;
LRA-00022;2;2022-01-14;TIME;0,035;0;;;;;
LRA-00023;1;2022-01-14;FLAT;0,3;;;;;;
LRA-00023;1;2022-01-14;TIME;0,035;0;;;;;
LRA-00023;2;2022-01-14;FLAT;0,3;;;;;;
LRA-00023;2;2022-01-14;TIME;0,035;0;;;;;
LRA-00024;1;2022-01-14;FLAT;0,3;;;;;;
LRA-00024;1;2022-01-14;TIME;0,035;0;;;;;
LRA-00024;2;2022-01-14;FLAT;0,3;;;;;;
LRA-00024;2;2022-01-14;TIME;0,035;0;;;;;
LRA-00025;1;2022-12-08;TIME;0,03;0;;;;;
